pkg_nm,url,file_ext,file_nm
digest,https://cran.r-project.org/bin/windows/contrib/4.0/digest_0.6.27.zip,.zip,pkg_1_digest.zip
skellam,https://cran.r-project.org/bin/windows/contrib/4.0/skellam_0.2.0.zip,.zip,pkg_2_skellam.zip
data.table,https://cran.r-project.org/src/contrib/Archive/data.table/data.table_1.13.2.tar.gz,.tar.gz,pkg_3_data.table.tar.gz
zip,https://cran.r-project.org/bin/windows/contrib/4.0/zip_2.1.1.zip,.zip,pkg_4_zip.zip
dbc,git@github.com:WetRobot/dbc.git,.tar.gz,pkg_5_dbc.tar.gz
iarccrgtools,git@github.com:WetRobot/iarccrgtools.git,.tar.gz,pkg_6_iarccrgtools.tar.gz
nordcancore,git@github.com:CancerRegistryOfNorway/nordcancore.git,.tar.gz,pkg_7_nordcancore.tar.gz
nordcanpreprocessing,git@github.com:CancerRegistryOfNorway/nordcanpreprocessing.git,.tar.gz,pkg_8_nordcanpreprocessing.tar.gz
basicepistats,git@github.com:CancerRegistryOfNorway/basicepistats.git,.tar.gz,pkg_9_basicepistats.tar.gz
nordcansurvival,git@github.com:CancerRegistryOfNorway/nordcansurvival.git,.tar.gz,pkg_10_nordcansurvival.tar.gz
nordcanepistats,git@github.com:CancerRegistryOfNorway/nordcanepistats.git,.tar.gz,pkg_11_nordcanepistats.tar.gz
