icd10,sex,entity_level_10,entity_level_11,entity_level_12,entity_level_20,entity_level_30
c001,0,980,990,970,510,10
c000,0,980,990,970,510,10
c009,0,980,990,970,510,10
c008,0,980,990,970,510,10
c002,0,980,990,970,510,10
c006,0,980,990,970,510,10
c00,0,980,990,970,510,10
c021,0,980,990,970,510,20
c041,0,980,990,970,510,20
c040,0,980,990,970,510,20
c02,0,980,990,970,510,20
c004,0,980,990,970,510,20
c048,0,980,990,970,510,20
c049,0,980,990,970,510,20
c023,0,980,990,970,510,20
c020,0,980,990,970,510,20
c028,0,980,990,970,510,20
c068,0,980,990,970,510,20
c04,0,980,990,970,510,20
c022,0,980,990,970,510,20
c062,0,980,990,970,510,20
c024,0,980,990,970,510,20
c069,0,980,990,970,510,20
c060,0,980,990,970,510,20
c029,0,980,990,970,510,20
c031,0,980,990,970,510,20
c050,0,980,990,970,510,20
c030,0,980,990,970,510,20
c039,0,980,990,970,510,20
c058,0,980,990,970,510,20
c005,0,980,990,970,510,20
c03,0,980,990,970,510,20
c061,0,980,990,970,510,20
c003,0,980,990,970,510,20
c06,0,980,990,970,510,20
c059,0,980,990,970,510,20
c081,0,980,990,970,510,30
c089,0,980,990,970,510,30
c080,0,980,990,970,510,30
c07,0,980,990,970,510,30
c088,0,980,990,970,510,30
c08,0,980,990,970,510,30
c108,0,980,990,970,510,40
c10,0,980,990,970,510,40
c104,0,980,990,970,510,40
c051,0,980,990,970,510,40
c05,0,980,990,970,510,40
c01,0,980,990,970,510,40
c100,0,980,990,970,510,40
c099,0,980,990,970,510,40
c052,0,980,990,970,510,40
c102,0,980,990,970,510,40
c098,0,980,990,970,510,40
c109,0,980,990,970,510,40
c103,0,980,990,970,510,40
c09,0,980,990,970,510,40
c142,0,980,990,970,510,40
c148,0,980,990,970,510,40
c091,0,980,990,970,510,40
c090,0,980,990,970,510,40
c140,0,980,990,970,510,40
c14,0,980,990,970,510,40
c113,0,980,990,970,510,41
c119,0,980,990,970,510,41
c118,0,980,990,970,510,41
c112,0,980,990,970,510,41
c111,0,980,990,970,510,41
c110,0,980,990,970,510,41
c11,0,980,990,970,510,41
c13,0,980,990,970,510,50
c130,0,980,990,970,510,50
c139,0,980,990,970,510,50
c132,0,980,990,970,510,50
c138,0,980,990,970,510,50
c131,0,980,990,970,510,50
c12,0,980,990,970,510,50
c15,0,980,990,970,60,60
c150,0,980,990,970,60,60
c152,0,980,990,970,60,60
c158,0,980,990,970,60,60
c151,0,980,990,970,60,60
c153,0,980,990,970,60,60
c154,0,980,990,970,60,60
c159,0,980,990,970,60,60
c155,0,980,990,970,60,60
c166,0,980,990,970,70,70
c165,0,980,990,970,70,70
c162,0,980,990,970,70,70
c164,0,980,990,970,70,70
c168,0,980,990,970,70,70
c161,0,980,990,970,70,70
c16,0,980,990,970,70,70
c163,0,980,990,970,70,70
c160,0,980,990,970,70,70
c169,0,980,990,970,70,70
c170,0,980,990,970,80,80
c178,0,980,990,970,80,80
c172,0,980,990,970,80,80
c171,0,980,990,970,80,80
c17,0,980,990,970,80,80
c179,0,980,990,970,80,80
c173,0,980,990,970,80,80
c187,0,980,990,970,520,90
c182,0,980,990,970,520,90
c181,0,980,990,970,520,90
c185,0,980,990,970,520,90
c186,0,980,990,970,520,90
c180,0,980,990,970,520,90
c18,0,980,990,970,520,90
c188,0,980,990,970,520,90
c183,0,980,990,970,520,90
c189,0,980,990,970,520,90
c184,0,980,990,970,520,90
c19,0,980,990,970,520,100
c20,0,980,990,970,520,100
c229,0,980,990,970,110,110
c223,0,980,990,970,110,110
c22,0,980,990,970,110,110
c222,0,980,990,970,110,110
c227,0,980,990,970,110,110
c221,0,980,990,970,110,110
c220,0,980,990,970,110,110
c224,0,980,990,970,110,110
c240,0,980,990,970,120,120
c241,0,980,990,970,120,120
c248,0,980,990,970,120,120
c24,0,980,990,970,120,120
c249,0,980,990,970,120,120
c23,0,980,990,970,120,120
c250,0,980,990,970,130,130
c253,0,980,990,970,130,130
c254,0,980,990,970,130,130
c259,0,980,990,970,130,130
c251,0,980,990,970,130,130
c258,0,980,990,970,130,130
c257,0,980,990,970,130,130
c252,0,980,990,970,130,130
c25,0,980,990,970,130,130
c318,0,980,990,970,140,140
c31,0,980,990,970,140,140
c319,0,980,990,970,140,140
c311,0,980,990,970,140,140
c30,0,980,990,970,140,140
c313,0,980,990,970,140,140
c301,0,980,990,970,140,140
c300,0,980,990,970,140,140
c312,0,980,990,970,140,140
c310,0,980,990,970,140,140
c101,0,980,990,970,150,150
c320,0,980,990,970,150,150
c321,0,980,990,970,150,150
c32,0,980,990,970,150,150
c322,0,980,990,970,150,150
c323,0,980,990,970,150,150
c329,0,980,990,970,150,150
c328,0,980,990,970,150,150
c343,0,980,990,970,160,160
c340,0,980,990,970,160,160
c349,0,980,990,970,160,160
c348,0,980,990,970,160,160
c34,0,980,990,970,160,160
c342,0,980,990,970,160,160
c341,0,980,990,970,160,160
c33,0,980,990,970,160,160
c459,0,980,990,970,170,170
c450,0,980,990,970,170,170
c384,0,980,990,970,170,170
c505,0,980,990,NA,180,180
c509,0,980,990,NA,180,180
c506,0,980,990,NA,180,180
c504,0,980,990,NA,180,180
c500,0,980,990,NA,180,180
c502,0,980,990,NA,180,180
c503,0,980,990,NA,180,180
c50,0,980,990,NA,180,180
c501,0,980,990,NA,180,180
c508,0,980,990,NA,180,180
c539,2,980,990,970,190,190
c531,2,980,990,970,190,190
c530,2,980,990,970,190,190
c53,2,980,990,970,190,190
c538,2,980,990,970,190,190
c549,2,980,990,970,200,200
c543,2,980,990,970,200,200
c541,2,980,990,970,200,200
c542,2,980,990,970,200,200
c548,2,980,990,970,200,200
c54,2,980,990,970,200,200
c540,2,980,990,970,200,200
c55,2,980,990,970,210,210
c58,2,980,990,970,210,210
c570,2,980,990,970,220,220
c571,2,980,990,970,220,220
c573,2,980,990,970,220,220
c56,2,980,990,970,220,220
c572,2,980,990,970,220,220
c574,2,980,990,970,220,220
c519,2,980,990,970,230,227
c51,2,980,990,970,230,227
c518,2,980,990,970,230,227
c512,2,980,990,970,230,227
c511,2,980,990,970,230,227
c510,2,980,990,970,230,227
c52,2,980,990,970,230,228
c57,2,980,990,970,230,229
c579,2,980,990,970,230,229
c577,2,980,990,970,230,229
c578,2,980,990,970,230,229
c61,1,980,990,NA,240,240
c62,1,980,990,970,250,250
c620,1,980,990,970,250,250
c629,1,980,990,970,250,250
c621,1,980,990,970,250,250
c609,1,980,990,970,260,260
c638,1,980,990,970,260,260
c602,1,980,990,970,260,260
c63,1,980,990,970,260,260
c608,1,980,990,970,260,260
c60,1,980,990,970,260,260
c637,1,980,990,970,260,260
c632,1,980,990,970,260,260
c601,1,980,990,970,260,260
c630,1,980,990,970,260,260
c631,1,980,990,970,260,260
c600,1,980,990,970,260,260
c639,1,980,990,970,260,260
c64,0,980,990,970,270,270
d301,0,980,990,970,280,280
c67,0,980,990,970,280,280
c66,0,980,990,970,280,280
c65,0,980,990,970,280,280
c677,0,980,990,970,280,280
c681,0,980,990,970,280,280
d302,0,980,990,970,280,280
c675,0,980,990,970,280,280
d419,0,980,990,970,280,280
d414,0,980,990,970,280,280
c680,0,980,990,970,280,280
c679,0,980,990,970,280,280
d41,0,980,990,970,280,280
d307,0,980,990,970,280,280
c673,0,980,990,970,280,280
d303,0,980,990,970,280,280
c68,0,980,990,970,280,280
c676,0,980,990,970,280,280
d412,0,980,990,970,280,280
c674,0,980,990,970,280,280
d091,0,980,990,970,280,280
d30,0,980,990,970,280,280
c671,0,980,990,970,280,280
d309,0,980,990,970,280,280
c678,0,980,990,970,280,280
c689,0,980,990,970,280,280
d413,0,980,990,970,280,280
c688,0,980,990,970,280,280
c672,0,980,990,970,280,280
d411,0,980,990,970,280,280
d304,0,980,990,970,280,280
c670,0,980,990,970,280,280
d417,0,980,990,970,280,280
d090,0,980,990,970,280,280
c43,0,980,990,970,290,290
c439,0,980,990,970,290,290
c432,0,980,990,970,290,290
c433,0,980,990,970,290,290
c430,0,980,990,970,290,290
c435,0,980,990,970,290,290
c431,0,980,990,970,290,290
c438,0,980,990,970,290,290
c436,0,980,990,970,290,290
c437,0,980,990,970,290,290
c434,0,980,990,970,290,290
c443,0,980,NA,NA,300,300
c446,0,980,NA,NA,300,300
c44,0,980,NA,NA,300,300
c448,0,980,NA,NA,300,300
c442,0,980,NA,NA,300,300
c441,0,980,NA,NA,300,300
c445,0,980,NA,NA,300,300
c444,0,980,NA,NA,300,300
c449,0,980,NA,NA,300,300
c440,0,980,NA,NA,300,300
c447,0,980,NA,NA,300,300
c693,0,980,990,970,310,310
c698,0,980,990,970,310,310
c696,0,980,990,970,310,310
c695,0,980,990,970,310,310
c699,0,980,990,970,310,310
c692,0,980,990,970,310,310
c691,0,980,990,970,310,310
c690,0,980,990,970,310,310
c694,0,980,990,970,310,310
c69,0,980,990,970,310,310
c73,0,980,990,970,330,330
c402,0,980,990,970,340,340
c40,0,980,990,970,340,340
c419,0,980,990,970,340,340
c409,0,980,990,970,340,340
c401,0,980,990,970,340,340
c414,0,980,990,970,340,340
c403,0,980,990,970,340,340
c408,0,980,990,970,340,340
c413,0,980,990,970,340,340
c41,0,980,990,970,340,340
c400,0,980,990,970,340,340
c418,0,980,990,970,340,340
c412,0,980,990,970,340,340
c410,0,980,990,970,340,340
c411,0,980,990,970,340,340
c491,0,980,990,970,350,350
c49,0,980,990,970,350,350
c492,0,980,990,970,350,350
c495,0,980,990,970,350,350
c490,0,980,990,970,350,350
c493,0,980,990,970,350,350
c494,0,980,990,970,350,350
c496,0,980,990,970,350,350
c499,0,980,990,970,350,350
c498,0,980,990,970,350,350
c451,0,980,990,970,410,410
c469,0,980,990,970,410,410
c74,0,980,990,970,410,410
c749,0,980,990,970,410,410
c21,0,980,990,970,410,410
c740,0,980,990,970,410,410
c457,0,980,990,970,410,410
c759,0,980,990,970,410,410
c741,0,980,990,970,410,410
c488,0,980,990,970,410,410
c452,0,980,990,970,410,410
c218,0,980,990,970,410,410
c758,0,980,990,970,410,410
c212,0,980,990,970,410,410
c38,0,980,990,970,410,410
c210,0,980,990,970,410,410
c211,0,980,990,970,410,410
c382,0,980,990,970,410,410
c48,0,980,990,970,410,410
c750,0,980,990,970,410,410
c381,0,980,990,970,410,410
c45,0,980,990,970,410,410
c755,0,980,990,970,410,410
c754,0,980,990,970,410,410
c481,0,980,990,970,410,410
c47,0,980,990,970,410,410
c470,0,980,990,970,410,410
c474,0,980,990,970,410,410
c75,0,980,990,970,410,410
c46,0,980,990,970,410,410
c460,0,980,NA,NA,410,410
c383,0,980,990,970,410,410
c480,0,980,990,970,410,410
c388,0,980,990,970,410,410
c467,0,980,990,970,410,410
c468,0,980,990,970,410,410
c471,0,980,990,970,410,410
c37,0,980,990,970,410,410
c476,0,980,990,970,410,410
c478,0,980,990,970,410,410
c461,0,980,990,970,410,410
d353,0,980,990,970,410,410
c463,0,980,990,970,410,410
c462,0,980,990,970,410,410
c482,0,980,990,970,410,410
d352,0,980,990,970,410,410
c473,0,980,990,970,410,410
c380,0,980,990,970,410,410
d443,0,980,990,970,410,410
c472,0,980,990,970,410,410
c479,0,980,990,970,410,410
d354,0,980,990,970,410,410
c475,0,980,990,970,410,410
d444,0,980,990,970,410,410
d445,0,980,990,970,410,410
c762,0,980,990,970,420,420
c268,0,980,990,970,420,420
c269,0,980,990,970,420,420
c399,0,980,990,970,420,420
c787,0,980,990,970,420,420
c763,0,980,990,970,420,420
c772,0,980,990,970,420,420
c788,0,980,990,970,420,420
c800,0,980,990,970,420,420
c390,0,980,990,970,420,420
c774,0,980,990,970,420,420
c809,0,980,990,970,420,420
c261,0,980,990,970,420,420
c760,0,980,990,970,420,420
c771,0,980,990,970,420,420
c260,0,980,990,970,420,420
c761,0,980,990,970,420,420
c765,0,980,990,970,420,420
c76,0,980,990,970,420,420
c785,0,980,990,970,420,420
c80,0,980,990,970,420,420
c770,0,980,990,970,420,420
c791,0,980,990,970,420,420
c97,0,980,990,970,420,420
c786,0,980,990,970,420,420
c398,0,980,990,970,420,420
c783,0,980,990,970,420,420
c39,0,980,990,970,420,420
c797,0,980,990,970,420,420
c782,0,980,990,970,420,420
c764,0,980,990,970,420,420
c773,0,980,990,970,420,420
c767,0,980,990,970,420,420
c26,0,980,990,970,420,420
c795,0,980,990,970,420,420
c778,0,980,990,970,420,420
c794,0,980,990,970,420,420
c796,0,980,990,970,420,420
c784,0,980,990,970,420,420
c77,0,980,990,970,420,420
c799,0,980,990,970,420,420
c775,0,980,990,970,420,420
c779,0,980,990,970,420,420
c781,0,980,990,970,420,420
c790,0,980,990,970,420,420
c768,0,980,990,970,420,420
c79,0,980,990,970,420,420
c793,0,980,990,970,420,420
c798,0,980,990,970,420,420
c78,0,980,990,970,420,420
c792,0,980,990,970,420,420
c780,0,980,990,970,420,420
c836,0,980,990,970,360,431
c832,0,980,990,970,360,431
c834,0,980,990,970,360,431
c850,0,980,990,970,360,431
c839,0,980,990,970,360,431
c851,0,980,990,970,360,431
c838,0,980,990,970,360,431
c859,0,980,990,970,360,431
c812,0,980,990,970,370,434
c81,0,980,990,970,370,434
c810,0,980,990,970,370,434
c819,0,980,990,970,370,434
c811,0,980,990,970,370,434
c813,0,980,990,970,370,434
c817,0,980,990,970,370,434
c814,0,980,990,970,370,434
c830,0,980,990,970,360,435
c911,0,980,990,970,402,435
c889,0,980,990,970,394,436
c882,0,980,990,970,394,436
c880,0,980,990,970,394,436
c881,0,980,990,970,394,436
c883,0,980,990,970,394,436
c887,0,980,990,970,394,436
c831,0,980,990,970,360,437
c824,0,980,990,970,360,438
c821,0,980,990,970,360,438
c822,0,980,990,970,360,438
c823,0,980,990,970,360,438
c820,0,980,990,970,360,438
c825,0,980,990,970,360,438
c829,0,980,990,970,360,438
c827,0,980,990,970,360,438
