icd10;entity_level_10;entity_level_11;entity_level_12;entity_level_13;entity_level_20;entity_level_30
c00;980;990;970;;510;10
c000;980;990;970;;510;10
c001;980;990;970;;510;10
c002;980;990;970;;510;10
c003;980;990;970;;510;20
c004;980;990;970;;510;20
c005;980;990;970;;510;20
c006;980;990;970;;510;10
c008;980;990;970;;510;10
c009;980;990;970;;510;10
c01;980;990;970;;510;40
c02;980;990;970;;510;20
c020;980;990;970;;510;20
c021;980;990;970;;510;20
c022;980;990;970;;510;20
c023;980;990;970;;510;20
c024;980;990;970;;510;20
c028;980;990;970;;510;20
c029;980;990;970;;510;20
c03;980;990;970;;510;20
c030;980;990;970;;510;20
c031;980;990;970;;510;20
c039;980;990;970;;510;20
c04;980;990;970;;510;20
c040;980;990;970;;510;20
c041;980;990;970;;510;20
c048;980;990;970;;510;20
c049;980;990;970;;510;20
c05;980;990;970;;510;20
c050;980;990;970;;510;20
c051;980;990;970;;510;40
c052;980;990;970;;510;40
c058;980;990;970;;510;20
c059;980;990;970;;510;20
c06;980;990;970;;510;20
c060;980;990;970;;510;20
c061;980;990;970;;510;20
c062;980;990;970;;510;20
c068;980;990;970;;510;20
c069;980;990;970;;510;20
c07;980;990;970;;510;30
c08;980;990;970;;510;30
c080;980;990;970;;510;30
c081;980;990;970;;510;30
c088;980;990;970;;510;30
c089;980;990;970;;510;30
c09;980;990;970;;510;40
c090;980;990;970;;510;40
c091;980;990;970;;510;40
c098;980;990;970;;510;40
c099;980;990;970;;510;40
c10;980;990;970;;510;40
c100;980;990;970;;510;40
c101;980;990;970;;;150
c102;980;990;970;;510;40
c103;980;990;970;;510;40
c104;980;990;970;;510;40
c108;980;990;970;;510;40
c109;980;990;970;;510;40
c11;980;990;970;;510;41
c110;980;990;970;;510;41
c111;980;990;970;;510;41
c112;980;990;970;;510;41
c113;980;990;970;;510;41
c118;980;990;970;;510;41
c119;980;990;970;;510;41
c12;980;990;970;;510;50
c13;980;990;970;;510;50
c130;980;990;970;;510;50
c131;980;990;970;;510;50
c132;980;990;970;;510;50
c138;980;990;970;;510;50
c139;980;990;970;;510;50
c14;980;990;970;;510;40
c140;980;990;970;;510;40
c142;980;990;970;;510;40
c148;980;990;970;;510;40
c15;980;990;970;;;60
c150;980;990;970;;;60
c151;980;990;970;;;60
c152;980;990;970;;;60
c153;980;990;970;;;60
c154;980;990;970;;;60
c155;980;990;970;;;60
c158;980;990;970;;;60
c159;980;990;970;;;60
c16;980;990;970;;;70
