icd10;icd7;icd8;icd9
c00;140;140;140
c000;1400;1400;1400
c001;1401;1401;1401
c002;;;
c003;;;1403
c004;;;1404
c005;;;1405
c006;;;1406
c008;;;
c009;1409;1409;1409
c01;1410;1410;1410
c02;141;141;141
c020;;1411;1411
c021;;1412;1412
c022;;1413;1413
c023;;;1414
c024;;;1416
c028;1418;;
c029;1419;1419;1419
c03;;143;143
c030;;1430;1430
c031;143;1431;1431
c039;;1439;1439
c04;143;144;144
c040;;;1440
c041;;;1441
c048;;;
c049;;;1449
c05;;;
c050;;1451;1452
c051;;;1453
c052;;;1454
c058;;;
c059;;1459;1455
c06;144;145;145
c060;;;1450
c061;;;1451
c062;;;1456
c068;;;
c069;;1459;1459
c07;1420;1420;1420
c08;142;142;142
c080;1427;;1421
c081;1427;;1422
c088;1428;;
c089;1429;1429;1429
c09;145;1460;1460
c090;1450;;1461
c091;;;1462
c098;;;
c099;1450;;1460
c10;145;146;146
c100;;;1463
c101;;;1464
c102;;;1466
c103;;;1467
c104;;;
c108;1458;;
c109;1459;1469;1469
c11;146;147;147
c110;;;1470
c111;;;1471
c112;;;1472
c113;;;1473
c118;;;
c119;;;1479
c12;;1481;1481
c13;147;148;148
c130;;1480;1480
c131;;;1482
c132;;;1483
c138;;;
c139;;1489;1489
c14;148;149;149
c140;;;1490
c142;;;1491
c148;;;1499
c15;150;150;150
c150;;;1500
c151;;;1501
c152;;;1502
c153;;;1503
c154;;;1504
c155;;;1505
c158;;;
c159;;;1509
c16;151;151;151
c160;1510;1510;1510
c161;;;1513
c162;;;1514
c163;;;1512
c164;;1511;1511
c165;;;1515
c166;;;1516
c168;;;
c169;;1519;1519
c17;152;152;152
c170;;;
c171;1527;1521;1521
c172;1527;1522;1522
c173;1527;;1523
c178;1528;;
c179;1529;1529;1529
c18;153;153;153
c180;1520;1520;1534
c181;1520;1520;1535
c182;1520;1520;1536
c183;1531;1531;1520
c184;1531;1531;1531
c185;1531;1531;1537
c186;1532;1532;1532
c187;1533;1533;1533
c188;1537;;
c189;1538;1538;1539
c19;154;1540;1540
c20;154;1541;1541
c21;;1542;154
c210;;;1543
c211;;1542;1542
c212;;;
c218;;;1548
c22;;155;155
c220;;1550;1550
c221;;1551;1551
c222;;;
c223;;;
c224;;;
c227;;;
c229;156;1978;1552
c23;1551;1560;1560
c24;155;156;156
c240;1551;1561;1561
c241;1551;1562;1562
c248;;;
c249;;1569;1569
c25;157;157;157
c250;;1570;1570
c251;;;1571
c252;;;1572
c253;;;1573
c254;;;1574
c257;;;
c258;;;
c259;;1579;1579
c26;159;159;159
c260;1539;1539;1590
c261;;;1591
c268;;;
c269;159;159;1599
c30;160;160;160
c300;1600;1600;1600
c301;1601;1601;1601
c31;160;160;160
c310;1602;1602;1602
c311;1607;1608;1603
c312;1607;1608;1604
c313;1607;1608;1605
c318;1608;;
c319;1609;1609;1609
c32;161;161;161
c320;;1610;1610
c321;;;1611
c322;;;1612
c323;;;1613
c328;;;
c329;;1619;1619
c33;1620;1620;1620
c34;1621;1621;162
