Year_Death,Sex,Region,Agegroup,CoD,ICDVersion,Number_of_Deaths
1952,1,60,01,1400,6,0
1952,1,60,02,1400,6,0
1952,1,60,03,1400,6,0
1952,1,60,04,1400,6,0
1952,1,60,05,1400,6,0
1952,1,60,06,1400,6,0
1952,1,60,07,1400,6,0
1952,1,60,08,1400,6,0
1952,1,60,09,1400,6,0
1952,1,60,10,1400,6,0
1952,1,60,11,1400,6,0
1952,1,60,12,1400,6,0
1952,1,60,13,1400,6,0
1952,1,60,14,1400,6,1
1952,1,60,15,1400,6,1
1952,1,60,16,1400,6,0
1952,1,60,17,1400,6,0
1952,1,60,18,1400,6,0
1952,1,60,21,1400,6,0
1952,2,60,01,1400,6,0
1952,2,60,02,1400,6,0
1952,2,60,03,1400,6,0
1952,2,60,04,1400,6,0
1952,2,60,05,1400,6,0
1952,2,60,06,1400,6,0
1952,2,60,07,1400,6,0
1952,2,60,08,1400,6,0
1952,2,60,09,1400,6,0
1952,2,60,10,1400,6,0
1952,2,60,11,1400,6,0
1952,2,60,12,1400,6,1
1952,2,60,13,1400,6,0
1952,2,60,14,1400,6,0
1952,2,60,15,1400,6,0
1952,2,60,16,1400,6,2
1952,2,60,17,1400,6,0
1952,2,60,18,1400,6,0
1952,2,60,21,1400,6,0
1952,1,60,01,1410,6,0
1952,1,60,02,1410,6,0
1952,1,60,03,1410,6,0
1952,1,60,04,1410,6,0
1952,1,60,05,1410,6,0
1952,1,60,06,1410,6,0
1952,1,60,07,1410,6,0
1952,1,60,08,1410,6,1
1952,1,60,09,1410,6,0
1952,1,60,10,1410,6,0
1952,1,60,11,1410,6,0
1952,1,60,12,1410,6,1
1952,1,60,13,1410,6,1
1952,1,60,14,1410,6,3
1952,1,60,15,1410,6,2
1952,1,60,16,1410,6,1
1952,1,60,17,1410,6,2
1952,1,60,18,1410,6,1
1952,1,60,21,1410,6,0
1952,2,60,01,1410,6,0
1952,2,60,02,1410,6,0
1952,2,60,03,1410,6,0
1952,2,60,04,1410,6,0
1952,2,60,05,1410,6,0
1952,2,60,06,1410,6,0
1952,2,60,07,1410,6,0
1952,2,60,08,1410,6,0
1952,2,60,09,1410,6,1
1952,2,60,10,1410,6,0
1952,2,60,11,1410,6,0
1952,2,60,12,1410,6,0
1952,2,60,13,1410,6,2
1952,2,60,14,1410,6,1
1952,2,60,15,1410,6,5
1952,2,60,16,1410,6,2
1952,2,60,17,1410,6,2
1952,2,60,18,1410,6,2
1952,2,60,21,1410,6,0
1968,1,60,01,1770,7,0
1968,1,60,02,1770,7,0
1968,1,60,03,1770,7,0
1968,1,60,04,1770,7,0
1968,1,60,05,1770,7,0
1968,1,60,06,1770,7,0
1968,1,60,07,1770,7,0
1968,1,60,08,1770,7,0
1968,1,60,09,1770,7,0
1968,1,60,10,1770,7,5
1968,1,60,11,1770,7,11
1968,1,60,12,1770,7,33
1968,1,60,13,1770,7,73
1968,1,60,14,1770,7,126
1968,1,60,15,1770,7,239
1968,1,60,16,1770,7,275
1968,1,60,17,1770,7,278
1968,1,60,18,1770,7,133
1968,1,60,21,1770,7,29
1968,2,60,01,1770,7,0
1968,2,60,02,1770,7,0
1968,2,60,03,1770,7,0
1968,2,60,04,1770,7,0
1968,2,60,05,1770,7,0
1968,2,60,06,1770,7,0
