Year,Sex,Region,Agegroup,Pop_EndOfYear,Pop_MidYear
1952,1,60,01,293533,298086
1952,1,60,02,326481,322706
1952,1,60,03,248205,241915
1952,1,60,04,212454,211644
1952,1,60,05,224757,225995
1952,1,60,06,252922,256311
1952,1,60,07,281128,280717
1952,1,60,08,269761,271371
1952,1,60,09,277471,276162
1952,1,60,10,250450,248234
1952,1,60,11,223576,221127
1952,1,60,12,191922,189538
1952,1,60,13,159774,159186
1952,1,60,14,134653,132835
1952,1,60,15,99869,99691
1952,1,60,16,67206,65829
1952,1,60,17,32430,31821
1952,1,60,18,12622,12741
1952,1,60,21,3261,3200
1952,2,60,01,277838,282334
1952,2,60,02,310275,306736
1952,2,60,03,238681,232736
1952,2,60,04,206317,206027
1952,2,60,05,225258,226101
1952,2,60,06,249253,252495
1952,2,60,07,275598,274897
1952,2,60,08,264336,265790
1952,2,60,09,271735,270872
1952,2,60,10,253033,251432
1952,2,60,11,231366,228935
1952,2,60,12,203869,201956
1952,2,60,13,177022,176445
1952,2,60,14,150659,148542
1952,2,60,15,113944,113282
1952,2,60,16,76759,75358
1952,2,60,17,39783,39209
1952,2,60,18,17299,17430
1952,2,60,21,5106,4996
1953,1,60,01,285524,289529
1953,1,60,02,326988,326735
1953,1,60,03,264077,256141
1953,1,60,04,217241,214848
1953,1,60,05,218935,221846
1953,1,60,06,245927,249425
1953,1,60,07,281826,281477
1953,1,60,08,265754,267758
1953,1,60,09,277884,277678
1953,1,60,10,256365,253408
1953,1,60,11,227299,225438
1953,1,60,12,196086,194004
1953,1,60,13,162249,161012
1953,1,60,14,137865,136259
1953,1,60,15,101206,100538
1953,1,60,16,68826,68016
1953,1,60,17,34062,33246
1953,1,60,18,12037,12330
1953,1,60,21,3447,3354
1953,2,60,01,269345,273592
1953,2,60,02,310833,310554
1953,2,60,03,253682,246182
1953,2,60,04,211070,208694
1953,2,60,05,219635,222447
1953,2,60,06,243705,246479
1953,2,60,07,276333,275966
1953,2,60,08,261115,262726
1953,2,60,09,271303,271519
1953,2,60,10,257804,255419
1953,2,60,11,234440,232903
1953,2,60,12,207607,205738
1953,2,60,13,179479,178251
1953,2,60,14,154282,152471
1953,2,60,15,115782,114863
1953,2,60,16,78961,77860
1953,2,60,17,41297,40540
1953,2,60,18,16753,17026
1953,2,60,21,5292,5199
1954,1,60,01,277664,281594
1954,1,60,02,321079,324034
1954,1,60,03,282480,273279
1954,1,60,04,224328,220785
1954,1,60,05,215799,217367
1954,1,60,06,239411,242669
1954,1,60,07,281198,281512
1954,1,60,08,262576,264165
1954,1,60,09,275984,276934
1954,1,60,10,262572,259469
1954,1,60,11,232480,229890
1954,1,60,12,199941,198014
